,movies,full_situation
10,['The Equalizer']," Have you watched any good movies lately? Well, hello there!"
11,"['Saving Private Ryan', 'Forrest Gump']"," Actually I was looking for a movie. Can you assist me by any chance? Its been a while but I did see The Post. I think it came out last year will do my best..do you like tom hanks? I like Tom Hanks a lot. Seems I recall that one, how about Forrest Gump What was the last movie of his did you see? Hello I am looking for a movie trailer to decide if I want to see the movie. Can you assist? I loved Forest Gump. That was a true classic and it never gets old."
12,"['The Shawshank Redemption', 'Old School', 'Will Ferrell', 'Daddy', 'Hustlers', 'Jack Reacher', 'Maid in Manhattan', 'Bird Box', 'action movies', 'Die Hard', 'thriller', 'Julia Roberts', 'John Wick', 'alternative', 'Tom Cruise']"," My Best Friends Wedding, Green Book, Die Hard, Shawshank Redemption I think I have heard of it but don't know the story. Based on what you said that would be a no. I am thinking more Mission Impossible or Money Train. I would love to see a remake or something similar to Notting Hill. Julia Roberts fan as well. Sounds great! You've got two great movies to check out is there any other movie genre you want recommendations on? Or any movie you really like and want to watch something similar? Hello how are you? That sounds cool. What is that about? Well speaking of Mission Impossible, there is a new one that recently came out last year and Jack Reacher is also a good alternative also starring Tom Cruise I love movies like that! The first thing that comes to mind is Maid in Manhattan have you seen that before? it's not Julia Roberts but its a pretty similar storyline My niece was JUST talking about that yesterday. She showed me a clip real quick and I am definitely going to check it out. Great choice, any other suggestions? Old School was so funny! Will Ferrell is hilarious have you seen Daddy's Home or Daddy's Home 2? It's about an army vet that investigates the mass killing of 5 random people in the same town by a sniper who has a weird history with him. It's one of those action movies where there are a lot of plot twists Definitely sounds cool. I will definitely take a look The spin-off is pretty loosely based off of the main movies so you could watch it and still be able to follow since it's mostly about fast cars and general action movie elements. What kind of comedy movies do you like besides My Best Friends Wedding? Are you into satire, anything animated? Hmm as far as thriller, have you seen Bird Box? That one seemed to have a lot of hype. It was not too scary but had a good amount of jump scares without the gore I am looking for something to watch, preferably action, comedy, or thriller if it is not too scary. I usually don't do traditional comedy but I have to say I LOVED Old School.! Will Ferrell is one of my favorites. I have seen it, Jennifer Lopez is awesome too. Critics do not give her enough credit. What is that new movie coming out of hers? The one where she is a stripper? Shawshank Redemption is one of my favorite movies! Have you ever seen any of the Fast and Furios movies? They have a spin-off that came out this year called Hobbs and Shaw. Also, there is a new John Wick if you're looking for action movies similar to Die Hard. I have seen The Rock discussing it on some talk show a few weeks back. I don't know the franchise enough to know the storyline but I loved the fast and the furious. Horror films always scare me too. What kind of action and comedy movies do you like? Are you into action movies with explosions or adventure? And are you into rom/com's or more traditional comedy?"
13,"['Grand Theft Auto', 'Scarlett Johansson', 'Under the Skin', 'sci fi']"," i like the sci fi movies sounds is good A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery. I'd say Opie and Anthony has better guests, but Ronnie B is a good egg. Under the skin. no Ron and Fez or Opie and Anthony I'd say so. its a web series on amazon the pop music feel like good but i think watch both movie what would you say? yes i like to watch Cheeky Ron and Fez or Opie and Anthony? I'd recommend dancer in the dark then. It's a friendly musical starring Bjork. what is this movie ? It's honestly not bad if you like Lars Von Trier movies. Sounds like watching? i like pop music are you recommend me How do you feel about Scarlett Johansson? Under the skin is a pretty eerie sci fi movie. Scarjo gets nay nay. yes i like too yes i like to watch this movie What's your favorite genre to watch lately?"
14,"['Keanu Reeves', 'Matrix', 'The Matrix', 'Terminator: Dark Fate', 'actor', 'The Equalizer']"," Yes, i am do you have any recommendations? Hi! Are you looking for a movie trailer? Yes, I have watched the first three, very awesome collection of movies. Is there i new one? How about the new Rambo? I would like to see trailers for action movies. Do you know what kind of movie trailers you would like to see? Have you seen The Matrix? Keanu Reeves the actor is also the star in this movie Yes i would be interested in a similar movie, with good actors and a good plot. I have not watched it yet, but it has some low ratings. Have you seen The Equalizer? Yes i have,i hear there is a new Terminator coming out soon, is this correct? Yes, it is a great movie! I watched it with my friend when it came out in theaters! Are you interested in a similar movie? I recently watched John Wick 3, very good movie, in my opinion and fully action packed. I love action movies! What action movies have you watched recently? No, the fourth one will not be released until 2022 unfortunately"
15,"['Joaquin Phoenix', 'Toy Story 4', 'Robert De Niro', 'The Irishman', 'Joker']"," That's what I heard, I really enjoyed Heath Ledger's performance of the joker before is Joaquin's performance comparable? Thak you, I'd really like to see that movie now. That sounds very interesting and I like movies based on true stories, especially with a great actor like Robert De Niro. Very nice, I am glad I could help. Thanks for your recommendation of the Joker. I'd like to see that movie. First, what are your movie interests? Thank you...do you have a recommendation? I think what makes both of them so good is that they are shown with very different characteristics and do it very well. In this movie with Joaquin we have an origin story that keeps your attention. Id like to offer you this trailer. I've been wanting to see the Joker but haven't yet. Oh, that's good it's on Netflix, I'll have to look for that. I was really impressed with Joker, The Irishman, or for something a little lighter I recommend Toy Story 4. It is a really interesting movie and Joaquin Phoenix rendition of the Joker is very captivating. I like many movie genres, like romance, comedies, suspense, and thrillers. Hello, I am here to help you look for a movie trailer It is based on a true story regarding the disappearance of Jimmy Hoffa. The main character played by Robert De Niro is Frank Sheeran and he was mob hitman the became good friends with Hoffa. Yes this was just released on Netflix just last week but it is a long move, 3.5 hours long. In both these movies I do predict that they will be well represented during award season. What is the Irsihman movie about?"
16,"['Frozen II', 'Power', 'The Addams Family', 'animated']"," Yeah, it was a pretty powerful movie with a powerful message. Did you see the first one? Addams Family was bad i watched the animated movies and is very interested Okay. Thanks Yeah i saw it Like what? I just saw Frozen 2, I liked it Hi, Yeah Very motivated and awesome Personally, I would recommend watching it on DVD when it comes out. Because children in the theater aren't always well-behaved Frozen 2? i love power Well then I think you'd like this one, it's way better than any other animated movies out around this time. Like Addams Family was bad What did you think of it? That's great, I entirely recommend Frozen 2 for you to watch then. Well then you'll probably like the sequel, do you like animated movies? Lol... You right. but i will love to tell you to watch power too very interesting Yeah i do watch animated sometime Hello! Seen anything good lately?"
17,"['Misconduct', 'Marshall']"," Something like Pelicans Brief Misconduct was release in 2016 have you heard of this movie No I haven't whose in it Is there any that are more current do you like old movies or something more current? Felicity Jones or Dan Stevens I am fine and you? I am looking for a movie about court trials hello howare you today Any preference on the rating? Josh Duhamel, Anthony Hopkins, Al Pacino, Alice Eve Something more current within maybe 5 years Is there a certain actor that youlike? The Lincoln Lawyer other than Pelicans Brief is there any other court trials movies that you have seen?"
18,"['Home', 'Ice Age', 'Over the Hedge']"," Both are favorites of mine! I really loved Home. It's about an alien, a girl, and her cat, and their adventure to rescue her mom. It's hilarious. Is that something that might interest you? A good comedy or animated movie. What kind of movies do you like to watch? It does, I've already seen it, Skritch steals the show! Maybe. I like animated ones like Angry Birds. Angry Birds was pretty funny. What about Ice Age? I think it has a similar type of humor. What movie do you recommend? Hello! I'd love to help you find a movie trailer to watch."
19,"['Playmobil: The Movie', 'A Beautiful Day in the Neighborhood']"," Do you have a particular genre in mind? Horror, comedy, etc... I am married and have two kids ages 2 and 4 so of course I was wondering what would be suitable out there for them Hey, what's up my friend? Yeah, me too. He was a very interesting guy. Seeing the film might make the kids get into him. Thank you for your recommendation. I will choose Mr Rogers Well, you've come to the right person. When you have a GF, you tend to see a lot of movies. It abourt the building toy, Playmobil. Its made for kids so its only an hour and a half too. Oh nice. What is that one about? Well, the obvious choice is A Beautiful Day in the Neighborhood. It's about Mr. Rogers. Its an hour and a half, so it should hit your sweet spot. That is true. I think Tom hanks will do a good job in that one For animation there is Playmobil: The Movie Hi I am looking for a movie recommendation You can't go wrong with either one. I would probably recommend the first one, but that's from an adult perspective. Unless the kids are into Mr Rogers, Playumobil should hit the spot for them best. It would be a like atleast 1.5-2 hour max and a kids movie rated g Yeah. If you like Hanks and want something for the kids thats not too long, then this is the one. Reviews were great too. That is a good recommendation. You know how kids are my concern was making sure they were interested in the movie because it can be hard to sit through one I remember Mr rogers when I was a kid it would be nice to share that with my kids Do we know how long that movie is That would be good. Do you have any ideas on what other movies are around that amount of time and are animated?"
20,"['Superman', 'Wonder Woman', 'Batman', 'drama', 'science fiction']"," still trying to work on getting it sent. In the meantime, do you know the actress who plays wonder woman? Gal Gadot? awesome. i will try to send it to you Cool. Me too! I love drama but i love childrens fiction. What is your favorite movie? i like superman Hi good thanks nice i want to watch this solo no yet ok, give me just a moment. Are you going to watch this with solo or with someone? Ive watched this movie several times. Both solo and with my family. yes i want wonder woman yes please i see her sometime but i don't know the name actress im going solo I can see we have a lot in common. I loved superman vs batman, really anything by DC Comics. Have you seen Wonderwoman? Im interest in drama and fiction movie Great. What kinds of movies are you interested in? If you like superman, you should really watch wonder woman. It ties in with Superman vs Batman. It is one of my kids and myself favorite movies. Lots of drama and its science fiction. Hello. How are you? Do you know what kind of movie you are looking for?"
21,['Now You See Me']," I love watching movies. How about you? Ok, Then you probably have really good recommendations. As a matter of fact I do. What movies have you seen lately by the way? Mostly action but there are some Mysteries that i enjoy as well. Hi! Do you enjoy watching movies? Well, what genre do you enjoy the most? Yes! I love Marvel movies, they are the best. Hello! Can you recommend any other movies that you like as much? I spend a little too much time watching movies if I do say so myself haha Today i watch Avengers Endgame. Do you like Marvel movies?"
22,"['Star Wars: The Rise of Skywalker', 'movies', 'Enemy']"," yes of course, i do like them. can you recommend me any other movie ? All the star wars movies are really good. I promise you will like it. happy thanks giving to you Me to you should look into Independence Day as well, it sci fi but not AI oh yeah, i like though. what about your experience on the movie? well, i like action movies alot. what you like in movies? oh ok, i will watch it soon.any other movies of him? i like will smith acting Hello out there!! I like action and drama okay, take care, happy thanksgiving. i am sure you will like it. Youare very welcome What about Sci Fi Action, I think you should check out The Rise Of Skywalker coming out December 20th hiii, can you send me a movie trailer yes perfect, this is the movie i want. thank you for the recommendation. wow, thats cool. movies with artificial intelligence is my current favourite. Well what type of movie do you like? Action, Drama, Comedy, romance? ok how about IRobot"
23,"['Aguirre, the Wrath of God', 'Amazon', 'documentary', 'period', 'director', 'perfectly', 'documentaries', 'Shoah']"," Well, even though I'm young in age, I do think older documentaries are still the best that has been done. Even though I would not classify this documentary as fun in a joyful manner, it is informative about a serious topic, the Holocuast. The documentary is called Shoah. I usually like documentary films, or at least historically accurate drama films! How about earlier movies about earlier periods like the 1500s? Hi, I am here to help you look for movie trailer! That doesn't sound bad, I just watched the Ken Burns PBS documentary, which is 10+ hours I believe. I really enjoyed it. Have you watched any of his documentaries? I'm not very familiar with that time period unfortunately. I know a little bit about some of the explorers but that's about it. Any recommendations? I'm going to start broadly--what kind of movies you like? A general documentary about how the whole process of genocide against European Jews was carried. The unique thing about it is that it does not rely on a single piece of film from the 1930s or 1940s. The director, a French man travels to different parts of Europe, including the sites where the concentration camps once stood, and interviews the bystanders that saw their neighbors being removed. He also includes the input of prominent historians. That's too bad. I really enjoyed his Vietnam documentary because he did a good job of interviewing all sides and not just Americans. But his Civil War documentary was more focused on telling interesting anecdotes than the history it seemed like. Interesting, not very many people that I know like those sort of films, but I do. Unfortunately no, I had not even heard of it. As you mentioned liking historically accurate, I do enjoy those as well. Although they might not be presented from the viewpoint of an important figure, they usually revolve around a important event like The Biggest Short with Ryan Gosling, Steve Carrell and Christian Bale. It presents a point of view about what led to the 2008 economic crash. That's great, I love documentaries! It's fun to learn and be entertained at the same time. What's your favorite? No, not really and the reason being that I read what some historians had to say about his Civil War documentary and it did not sound encouraging for my taste. Although I forgot to mention a very important fact about the documentary that deters people from watching, It has to be seen on different sittings because it runs close to 9.5 hours, which I think reflects the seriousness of the subject is addressing. That sounds very difficult to watch but interesting. Is it about a specific person who lived through the Holocaust, or a more general documentary? I did enjoy the Biggest Short. I enjoy Revolutionary War ere history but haven't found any great documentaries on that yet. John Adams miniseries on HBO was pretty good for a drama though. hello! I'm not much of a film buff, but always happy to check out some films from before my time that I may have overlooked! Another good one that the critics also seem to like is Hoop Dreams, have you seen that? That sounds really interesting! One would have to be in the right frame of mind to watch it I imagine, but the interviews sound fascinating and disturbing. Thanks for the info, I accept your recommendation! Well, I think my fits perfectly your movie preferences. It is subtitled, obviously, but as a film buff I do check lists that come out in which critics rank their favorite movies and Shoah consistently ranks as one of the best, if not the best, documentary of all time."
24,"['The Shining', 'Doctor Sleep', 'Dr']"," Hello, I am here to help you looking for a movie trailer last one I seen was the new halloween movie that came out. yes with jack nicholson. great movie. Me too! Do you have a favorite genre? hi, I love to watch movies. family, action, and horror Nice! Horror movies are my jam, what's the last horror movie you've seen in theatres? That was an awesome one. Have you ever watched The Shining?"
25,"['Running Scared', 'Chicago', 'West', 'cops']"," yes for sure .what kind of movie you are interested in Action and commedy Yes, I would appreciate No. Do you see like Close? Do you know that one? ok do you want to see similar kind of movie now Just English movies It was an action type. Let me check in my list did you perfer other language movies all so ok have you ever watched running scared its a old movie whats the last movie you watched Would you recommend a movie? hi i am here to help you"
26,['The Grinch']," I agree, it was a cute movie! Each actor definitely played their character. Ah man that sucks. Do you have a movie recommendation in mind? I recently, finally saw the movie Little have you seen that one before? Yes i have Hello, how are you? What was your favorite scene in the movie? I agree. I really enjoyed the message that it doesn't take being mean and careless to gain happiness in life. Humility is key. I liked it. It was a cute movie lol Yes they did! It had a good message to the movie I cant find the move on the search idk why Hello Oh that sucks I hope you are feeling better I am good and you? I'm doing good. Have been under the weather lately, but am better. You're welcom What did you think about it? I think when they see the hot guy come in and she forgets that shes 12 lol Yes it is, I agree Oh okay lol, yes that seen is classic I am. Thank you."
27,"['John Carter', 'Terminator', 'Avatar', 'Terminator: Dark Fate', 'Arnold']"," Such suspense. I'll definitely give it a watch. As long as it doesn't have Daenerys in it I think it will be a good one. My name is Jaime, nice to meet you. I like a variety of movies, but most recently I've enjoyed action or comedy James Cameron is a good one to have do it too. He is usually pretty spot on with the graphics and effects. Ugh Avatar is a sore spot in movie history. Visually beautiful, but that was the longest painful watch no same Arnold, just older... tell you secret they even got the original John Connor back that is the big twist... can't spoil it i have seen it, and it is not a remake, it is a direct sequel to T2 hi my nameis matt, i hear you would like to see a movie, any genre in particular you are interested Thanks for the recommendation :) I like your style cool, talking about action have you seen the latest trailer for Terminator, they finally got James Cameron back along with Linda Hammilton back to the franchise You have me sold already. Did the trailer show how they were going to continue from the original? i appreciate that, i enjoy movies, specially if they dont suck, and this last Terminator definatly doesn't. it only took 20 years to make a good one again I haven't seen that trailor, Linda Hamilton is great. I'm always hesitant with remakes though. Have you seen it? i agree, after avatar i did not think he would come back to the franchise but he did, i feel like he saw what they were doing and had enough lol, she is not in it. movie is good, way better that Terminator Genesys Oh thats cool. Did they replace Arnold?"
28,"['Michael Douglas', 'The Game', '13 Sins']"," What was your favorite part of the movie? So, you like movies with plot twists? that's awesome. I will check the movie out! Got it I recommend the movie The Game starring Michael Douglas It has not one, but many different plot twists. Is there anything else that you enjoy about The Game? Ok great, why do you think so? Hi buddy. What is the last movie you watched? I do, I do not enjoy movies where I can guess the endings Hi! I recently watched once upon a time in hollywood I really enjoyed the character development and the idea that the entire time I thought I would know the ending as it followed the Manson murders, but it had a plot twist!"
29,"['dramedy', 'moving', 'drama comedy', 'Midler', 'Dixie', 'The Boys', 'Sparks', 'Eddie', 'Troops']"," I like stand up comedy as well, but I prefer it to not have a lot of profanity or explicit content. I love action comedies and romantic comedies. Same stipulations though. Thats good! So we know you don't want anything too dirty and raunchy. What type of stipulations do you have pertaining to action and romantic comedies? Ha! You can never go wrong with Ms. Midler. I think The First Wives Club is one of my all time favorites. Midler and Hawn make an excellent team! I had to google James Caan. Ha! I like both of them a lot. I have yet to see a movie featuring Bette Midler that I did not enjoy. I have yet to watch that movie. I remember seeing the trailer for it all the time when I watched an old VHS of A Very Brady Sequel, but I have yet to actually see it. That does sound pretty perfect! Hmm....well lets try to narrow that down a bit. There are all kinds of different comedies and some people prefer a certain kind. I, for one, am a fan of stand up. But you've got Farce, Dark Comedy, Romantic Comedy, Action Comedy and such types of Parodies. Which one would you be more open to seeing? That's pretty much it. I also like movies based around World War II. Though I know those genres typically do not overlap necessarily. Do you have any recommendations for those genres? Well I think I may have the perfect movie for you. There are strong comedic elements, its set during World War 2 and starring....Bette Midler! Oh, there's nothing wrong with having a good cry every now and then! It's good for the soul. Its a painless way to release pent up emotions. At least that's what I tell myself. Well the anticipation is killing me! Ha! So what is the movie? Oh my. So you already HAD the tissues on hand! Well it's a good thing then cause I know for a fact this movie has squeezed some tears out of me, no matter how great of a mood I was in when I started watching it. Hi! Is there a particular genre of movie you're interested in? I might have a title or two. You were right about those two genre's not exactly blending well or very often, but rest assured it does happen! How do you feel about Bette Midler and James Caan? The movie is called 'For the Boys', and I really do think you'll like it, if not love it. Its moving and touching in all the right ways! Well that sounds like a dream. Can you tell me a little about the plot? I like to have at least a little information to mentally and emotionally prepare myself. I thought so! Its one of my favorites. Something I watch when I'm feeling nostalgic as it was released in 1991. Bette Midler and James Caan make an excellent team and of course, since it is set during WWII, you'll want to have some tissues handy. I appreciate that warning. I am definitely a crier! Haha! I normally love comedies. I would think you right since I tell myself the same thing and I'm a Social Work major in college.;)"
30,['Captain Phillips'], What would be your favorite movie of his? I really like suspense thrillers that have some historical reference like The DaVinci Code I like Tom Hanks a lot Like horror thrillers or more just suspense? What kind of movies do you like? Definitely The DaVinci Code Interesting. Do you have a favorite actor/actress? I really enjoy watching thrillers and intellectually engaging movies
31,"['Weird Science', 'Foxy Brown', 'Speed', 'Eddie Murphy', 'Dumb and Dumber', 'Bird Box', 'Coming to America', 'Miss Congeniality']"," I saw it a long time ago. Definitely leans more toward the goofy vs clever dialog though. So not really a good fit for me. I saw Dumb and Dumber but was there a part 2? I don't think that I have seen it! Do you mean Speed? I know she does other things too, but Im looking for a comedy. I often think about a classic movie Weird Science. What do you think of that one? Yes I meant Speed It has been along time since have seen that movie but Bird Box and Miss Congeniality was also some of my favorites. I mean clever as in well written dialog vs. something that relies on slapstick. So more When Harry Met Sally and less Dumb and Dumber. I like comedians too, but I don't think of comedy movies and comedians in the same category exactly. Again, I like clever comedy much more so than just comedy that relies on shock value. when you say clever comedies are you referencing to ones like to the tonight show? Still in the style of goofy vs clever. I'm not a fan of those types of movies. Maybe something with Sandra Bullock? Yes I like those also! Have you seen the dialog commercial with skittles and she kisses him and he becomes infected with skittles also. I that one was really clever. Yes, I do think I remember that commercial. Yeah, I never had any desire to watch part 2. I like Jeff Daniels a lot, but that's just not my type of comedy. I like comedies also. Who is your favorite comedian? I you have not seen Coming to America with Eddie Murphy I would like to suggest that movie for you to watch! It has a nice comedy content. Hi I am here to help you look for a movie trailer! what type of trailers do you like to watch? Yes I like Sandra Bullock especially the Movie Rush and there is a recent one she just stared in. I like comedies. Something that's well written and clever. Miss Congenialtiy sounds good. It's definitely one that I'd like to see again. It's a little bit slap-stick, but also clever dialog. I would accept that recommendation. Thank you!"
32,"['director', 'Hereditary', 'Midsommar']"," Did you like it? ok, I would be willing to try that movie. I loved it, one of the best movies I seen it. yes, i have watched ford vs ferrari yesterday. HI, I'm here to recommend a movie to you. Got it. Seen any good ones lately? I would recommend you try out Midsommar, if you haven't seen it already. It's a horror movie. hi, i love to watch movies. I like to watch usually horror, action and sports movies."
33,"['Hitch', '50 First Dates']"," Have you seen 50 First Dates? Hi, how are you? What genre of movies do you like? Hello! I love romantic comedy and Drama mainly. I have and it is exactly the type of movie I like! Great movie!"
34,"['fantastic', 'The Martian', 'visuals', 'Frozen II', 'Matt Damon']"," What movie would you recommend? I did enjoy Frozen. Typically I enjoy action movies, but I do enjoy a good kids movie. Other movies such as Interstellar are great because they get the mind thinking. Hello! I am going to help recommend a movie to you! I recently saw Frozen 2 and even as an adult I really enjoyed the movie. It wasn't too cheesy, the music was fantastic and the visuals were breathtaking! What types of movies do you like?"
